"The famous inventor of a process of extracting Bromine, the founder of Dow Chemicals, and also invented electric light carbons, steam and internal combustion engines, automatic furnace controls, and water seals.","Herbert Henry Dow"
"Invented a gyroscope that stabilized and balanced gunsights, bombsights and launching long-range missiles.","Charles Stark Draper"
"Among His many inventions are: the first navigable submarine, a scarlet dye, and a thermostat for a self-regulating oven.","Cornelis Jacobszoon Drebbel"
"The first person to develop the blood bank.","Dr. Charles Richard Drew"
"Banjo playing 3M engineer, this man invented Scotch Tape.","Richard G Drew"
"Created the first US yo-yo fad.","D F Duncan Sr"
"The famous inventor of the first practical pneumatic or inflatable tyre(tire).","John Dunlop"
"The co-creator of Tagamet - inhibits the production of stomach acid.","Graham John Durant"
"Invented the tin can.","Peter Durand"
"They founded America's first company to manufacture and sell gasoline-powered vehicles.","Charles and Frank  Duryea"
"Ranked among the most important of industrial designers. They are best known for their groundbreaking contributions to architecture, furniture design, industrial design, manufacturing, and the photographic arts.","Charles and Ray Eames"
"Invented dry, transparent, and flexible photographic film","George Eastman"
"With John Mauchly he invented the first general-purpose electronic digital computer (ENIAC)","John Presper Eckert"
"Invented high-speed stroboscopic photography.","Harold E Doc Edgerton"
"credited with the creation of the first industrial research laboratory.","Thomas Alva Edison"
"Created JavaScript.","Brendan Eich"
"Built the Eiffel Tower for the Paris World's Fair of 1889, which honored the 100th anniversary of the French Revolution.","Gustave Eiffel"
"Developed the special and general theories of relativity and won the Nobel Prize for Physics in 1921. His theories lead to the invention of nuclear power and the atomic bomb.","Albert Einstein"
"Invented the leukemia fighting drug 6-mercaptopurine, drugs that facilitated kidney transplants, and drugs for the treatment of cancer.","Gertrude Belle Elion"
"In 1879 designed and patented a refrigerator designed to chill human corpses. ","Thomas Elkins"
"In 1989 won the Gordon Bell Prize for inventing supercomputer software.","Philip Emeagwali"
"Received a patent for Tagamet - inhibits the production of stomach acid.","John Emmett"
"Invented the computer mouse and the first GUI software before Microsoft or Apple.","Douglas Engelbart"
"In 1839, designed and built the USS Princeton, the most advanced warship of its time.","John Ericsson"
"Pioneered the high-pressure steam engine.","Oliver Evans"
"Invented the outboard motor.","Ole Evinrude"
"Received a patent for the first computer microprocessor.","Federico Faggin"
"The German physicist who invented the alcohol thermometer in 1709 and the mercury thermometer in 1714. In 1724, he introduced the temperature scale that bears his name.","Daniel Gabriel Fahrenheit"
"Invented the electric motor.","Michael Faraday"
"Farm boy who conceived the basic operating principles of electronic television at the age of thirteen.","Philo T Farnsworth"
"Invented liquid crystal display (LCD).","James Fergason"
"Most noted for his work on the first nuclear reactor, quantum theory, particle physics and statistical mechanics.","Enrico Fermi"
"Invented a ride for the World's Columbian Exhibition of 1893 in Chicago in attempt to rival the Eiffel Tower.","George Washington Gale Ferris, Jr."
"In 1900, transmitted the world's first voice message.","Reginald Fessenden"
"Made the first successful trial of a steamboat.","John Fitch"
"Received a patent for a petroleum refining method and was one of the most inventive chemists of all times.","Edith Flanigen"
"Discovered Penicillin.","Alexander Fleming"
"Invented standard time.","Sir Sandford Fleming"
"Invented the embolectomy balloon catheter, a medical device.","Thomas J Fogarty"
"Improved the assembly line for automobile manufacturing, received a patent for a transmission mechanism, and popularized the gas-powered car with the Model-T.","Henry Ford"
"A pioneer in digital computer development and invented random access, coincident-current, magnetic storage.","Jay W Forrester"
"Invented naturally colored cotton.","Sally Fox"
"Invented the lightning rod, the iron furnace stove, bifocal glasses, and the odometer.","Benjamin Franklin"
"Invented the home diabetes test.","Helen Murray Free"
"3M chemist who invented Post-It Notes as a temporary bookmarker.","Art Fry"
"Invented the geodesic dome in 1954.","Buckminster Fuller"
"American engineer, who brought steamboating to commercial success.","Robert Fulton"
"Invented the Self-Cleaning House.","Frances Gabe"
"Developed the theory of holography while working to improve the resolution of an electron microscope.","Dr. Dennis Gábor"
"One of the greatest scientists of all history, proved that the planets revolve around the sun not the earth as people thought at the time. Also invented a crude thermometer and telescope.","Galileo Galilei"
"Demonstrated what we now understand to be the electrical basis of nerve impulses.","Luigi Galvani"
"Received a patent for Tagamet - inhibits the production of stomach acid.","Charon Robin Ganellin"
"Invented the M1 semiautomatic rifle in 1934.","John Garand"
"Inventor of the high explosive rifle bullet.","Samuel Gardiner"
"The chairman of Microsoft, their chief software architect, and the creator of many early PC software programs.","Bill Gates"
"Inventor of the Gatling gun","Richard Gatling"
"The Scottish goldsmith who invented stereotyping in 1725, a process in which a whole page of type is cast in a single mold so that a printing plate can be made from it.","William Ged"
"Invented the Gerber Variable Scale® and the GERBERcutter®.","Joseph Gerber"
"Invented a high-pressure vapor lamp. His development of the improved fluorescent lamp and the high-pressure mercury-vapor lamp allowed for more economical lighting with less heat.","Edmund Germer"
"Invented the Erector Set - a child's building toy.","A C Gilbert"
"Father of electricity who first coined the term electricity from the Greek word for amber.","William Gilbert"
"An inventor, author, industrial engineer, industrial psychologist, and mother of twelve children.","Lillian Gilbreth"
"Invented the disposable balde safety razor.","King Camp Gillette"
"Developed the first practical videotape recorder (VTR).","Charles P Ginsburg"
"U.S. professor and scientist, was a pioneer of controlled, liquid-fueled rocketry. He launched the world's first liquid-fueled rocket on March 16, 1926.","Robert Hutchings Goddard"
"The first African American woman to receive a US patent.","Sarah E Goode"
"Made improvements in the indian-rubber fabrics used in tires.","Charles Goodyear"
"Invented Java, a programming language and environment.","James Gosling"
"Invented the laser.","Gordon Gould"
"Invented electrogasdynamics systems.","Meredith C Gourdine"
"Invented Liquid Paper.","Bette Nesmith Graham"
"Invented Graham Crackers in 1829.","Sylvester Graham"
"Invented livestock handling devices.","Temple Grandin"
"Invented the Etch-A-Sketch - a child's reusable drawing tool.","Arthur Granjean"
"Invented an improved tapered golf tee in 1899","George Grant"
"Invented an implantable cardiac pacemaker.","Wilson Greatbatch"
"Invented a stall warning device for airplanes. Patented dozens of inventions related to aviation technology.","Leonard Michael Greene"
"A grammar school dropout, invented earmuffs at the age of 15 and accumulated over 100 patents in his lifetime.","Chester Greenwood"
"First envisioned the optical or laser disc in 1958 and patented it in 1969.","David Paul Gregg"
"The ten-year-old famous inventor of Wristies®.","Kathryn ""KK"" Gregory"
"Invented a walkie talkie radio and a telephone pager.","Al Gross"
"Invented water-based fuels.","Rudolf Gunnerman"
"In 1450, Invented and made the first printing press.","Johannes Gutenberg"
"Discovered an electrolytic method of producing aluminum cheaply, putting aluminum into the first wide commercial use in history.","Charles Martin Hall"
"Invented meat curing products, seasonings, emulsions, bakery products, antioxidants, protein hydrolysates and many other products.","Lloyd Augustus Hall"
"A youthful picture postcard peddler who became the big name in greeting cards by starting Hallmark Cards.","Joyce Hall"
"In 1962, invented the semiconductor injection laser, a device now used in all compact disk players and laser printers, and most optical fiber communications systems. Hall also invented the magnetron that operates in most microwave ovens.","Robert Hall"
"New Zealander who invented the modern waterjet propulsion system.","Sir William Hamilton"
"An Englishmen, who founded the British rubber industry. Invented of the masticator, a machine that shreds rubber scraps, so rubber could be recycled.","Thomas Hancock"
"Invented the Barbie doll in 1959.","Ruth Handler"
"Received a patent for polyurethane in 1942.","William Edward Hanford"
"Invented the spinning jenny.","James Hargreaves"
"Invented the world's first useful antifungal antibiotic, Nystatin.","Elizabeth Lee Hazen"
"Hertz was the first to demonstrate the production and detection of Maxwell's waves that lead to the invention of radio.","Heinrich Hertz"
"His Generator was alleged to produce useable electric power in the range of 200 to 300 watts in 1930.","Lester Hendershot"
"Dubbed the ""Lady Edison"" in the 1920´s and 1930´s for her 110+ inventions and 49 patents.","Beulah Louise Henry"
"An important American scientist and the first Director of the Smithsonian Institution.","Joseph Henry"
"Invented the audio oscillator and co-founded an electronics company.","William Reddington Hewlett"
"Invented the first practical phototypesetting machine.","Rene Alphonse Higonnet"
"Invented sea-cretion, a construction material made from the electrolytic deposition of minerals from seawater.","Wolf H Hilbertz"
"A rotary clothes line was developed and marketed by Australian, Lance Hill.","Lance Hill"
"Part of the development of the electron microscope.","James Hillier"
"Used X-Rays to find the structural layouts of atoms and the overall molecular shape of over 100 molecules including: penicillin, vitamin B-12, vitamin D and insulin.","Dorothy Crowfoot Hodgkin"
"Received a patent for the first computer microprocessor.","Marcian Hoff"
"With fellow research chemist Robert Banks invented a durable plastic called Marlex.","Paul Hogan"
"Invented a punch-card tabulation machine system for statistical computation.","Herman Hollerith"
"Received a patent for, and opened, the first drive-in theater.","Richard M Hollingshead"
"Co-invented the telephony software called Visual Voice.","Krisztina Holly"
"Received a patent for polyurethane in 1942.","Donald Fletcher Holmes"
"Credited as greatest experimental scientist of the seventeenth century.","Robert Hooke"
"Invented the computerized telephone switching system.","Erna Schneider Hoover"
"A computer genius associated the Mark Computer series.","Grace Hopper"
"Invented the manufacture of liquid fuels, the catalytic muffler and a synthetic rubber process.","Eugene Houdry"
"Patented the first American made sewing machine.","Elias Howe"
"Invented the carbon microphone that was essential to the development of telephone.","David Edward Hughes"
"Invented the safety pin in 1849.","Walter Hunt"
"Dutch physicist, mathematician, astronomer, and inventor who was the leading proponent of the wave theory of light.","Christian Huygens"
"Holds several patents for women's undergarments.","Mary Phelps Jacob"
"Invented the Jet Ski.","Clayton Jacobsen II"
"Invented a Loom that weaved complex designs.","Joseph Marie Jacquard"
"Invented a coupler as an improvement in railroad cars that became the standard for the railroad freightcar used even today.","Eli Janney"
"Invented an artificial heart in his name.","Robert Jarvik"
"Third President of the United States, invented the swivel chair, the spherical sundial, the moldboard plow and the cipher wheel.","Thomas Jefferson"
"Invented a mechanical television system called radiovision and claimed to have transmitted the earliest moving silhouette images on June 14, 1923.","Charles Francis Jenkins"
"The first African American man to receive a patent. March 3, 1821 (US patent 3306x).","Thomas Jennings"
"A leader in both the computer and entertainment industries, Co-founder of Apple, and ex-CEO of Pixar.","Steven Paul Jobs"
"Changed the history of American food production by inventing vacuum packed canning.","Amanda Theodosia Jones"
"Invented the first automatic refrigeration system for long-haul trucks.","Frederick Jones"
"The world's first African American heavyweight champion in history, also received a patent for a wrench (U.S.patent no.1,413,121) on April 18th, 1922.","Jack Johnson"
"Invented the Super Soaker®, a squirt gun. Also invented thermodynamics systems, on the side.","Lonnie Johnson"
"Patented an improved mechanical egg beater on February 5, 1884.","Willis Johnson"
"Invented a permanent wave machine that would allow a hairdo to stay set for days.","Marjorie Stewart Joyner"
"Invented the Clasp Locker, an early version of the zipper.","Whitcomb Judson"
"Eminent marine biologist, considered a leader and authority for his work with cell development.","Ernest Everett Just"
"Received patents for synthesizing the medicines physostigmine for glaucoma, and cortisone for rheumatoid arthritis. He also received a patent for fire-extinguishing equipment.","Percy Lavon Julian"
"Invented a portable medication technology.","Dean Kamen"
"Invented an improved bellows, a modular hydrostatic bearing for machine tools, an opaque overhead projector for children to view artwork and even a TV remote control embedded in a Nerf-like football.","Nathan Kane"
"Invented the flying shuttle.","John Kay"
"Known for his communications inventions, co-invented fiber-optic wire.","Donald Keck"
"Architect, created inventions for the home, including the K-brick.","Anna Keichline"
"Invented log books that he used as a tool for calculating planetary positions, eyeglasses for near and far sighted persons, the convex eyepiece, and the quintile and biquintile (astronomy) aspects.","Johannes Kepler"
"Invented the first electrical ignition system for the car and the first practical engine-driven generator.","Charles Franklin Kettering"
"The first women to receive a US patent May 15, 1809.","Mary Kies"
"Invented the microchip.","Jack St Clair Kilby"
"Patented the Forward Sleeve design for creating clothing.","Gabriele Knecht"
"Co-invented the modern hula hoop.","Richard Knerr"
"Co-invented the modern athletic shoe or sneakers.","Phil Knight"
"An employee in a paper bag factory who invented a new machine part to make square bottoms for paper bags.","Margaret Knight"
"The inventor of the artificial kidney dialysis machine.","Willem Kolff"
"Designed a pinhole gamma ray camera and collimator and helped to design and fabricate automatic air and water sampling equipment and radiation activity measuring devices.","Roscoe Koontz"
"Invented para-aramid fibers (Kevlar), used in mooring ropes, fiber-optic cables, aircraft parts, canoes and bullet-resistant vests.","Stephanie Louise Kwolek"
"Famous movie star, also co-invented the first form of spread spectrum wireless communication patented August 11, 1942.","Hedy Lamarr"
"America's first gasoline-powered automobile sold, 1891, was designed, built, and named after this man.","John W Lambert"
"Invented polaroid photography.","Edwin Herbert Land"
"Aviation innovator.","Samuel Pierpont Langley"
"Invented the incandescent electric lamp and the high-vacuum electron tube.","Irving Langmuir"
"Invented the water closet for railroad cars, an electric lamp with an inexpensive carbon filament and a threaded wooden socket for light bulbs.","Lewis Howard Latimer"
"Canadian, invented the silicon chip blood analyzer in 1986.","Imants Lauks"
"Invented the cyclotron, a device that greatly increased the speed with which projectiles could be hurled at atomic nuclei.","Ernest Orlando Lawrence"
"Invented the eight track tape.","William P Lear"
"Invented a music synthesizer in 1945.","Hugh Le Caine"
"Received a patent for diagnostic X-Ray scanner also known as Cat-Scan.","Robert S Ledley"
"African American resteraunteur and master chef of late 19th century, discovered the first use for stale bread, invented a bread crumb making machine, and later invented an automatic bread making machine.","Joseph Lee"
"Invented the first practical microscope.","Antony Van Leeuwenhoek"
"Convicted of “culpable neglect”, ""[His] patents occupied the top thirteen positions for the longest prosecutions from 1914 to 2001"". The term ""submarine patent"" refers to him.","Jerome ""Jerry"" Hal Lemelson"
"Received a patent for a method of cryogenic separation of gases in 1915. Received patents for X-Ray tube technology, point junction transistors, and numerous other inventions.","Dr. Julius Edgar Lilienfeld"
"He made early progress on several innovations which were not fully developed until long after his death, including the electric light bulb, wireless telegraphy, and arc-welding.","James Bowman Lindsay"
"Father of flight simulation who received a patent on a device he called the Pilot Maker.","Ed Link"
"Invented the tuxedo.","Pierre Lorillard"
"Invented the very simple and portable pencil sharpener that many artists use today.","John Lee Love"
"Wrote a scientific paper in 1843 that anticipated the development of computer software artificial intelligence and computer music.","Ada Lovelace"
"Made the trademark name Kitty Litter a part of the American vocabulary.","Edward Lowe"
"Invented the first human-powered flying machine in history.","Paul MacCready"
"Received a patent for a method for making waterproof garments by using rubber dissolved in coal-tar naphtha for cementing two pieces of cloth together. His raiincoat bears his name.","Charles Macintosh"
"Invented a gas mask and started the first St. John's Ambulance Brigade.","Cluny MacPherson"
"Student honored with the Lemelson-MIT Award for his enviromentally adaptive artificial intellegence robotics invention in 1998.","Akhil Madhani"
"Received a patent for the Ruby Laser System.","Theodore Harold Maiman"
"In 1895, Marconi invented equipment that transmitted electrical signals through the air (part of telegraphy and radio transmission).","Guglielmo Marconi"
"In 1927, developed the first quartz clock.","Warren Marrison"
"Invented a clothespin fishing lure, the first disposable contoured diapers, the squeezable ketchup bottle, the granola bar, a heated pizza box, plastic microwave cookingware, and a dental floss dispenser.","Stanley Mason"
"Invented the haptic computer interface, a computer interface system that enhances virtual reality.","Thomas Massie"
"The first women to recieve recognition for invention of a grain mill, patented in England 1715. She later patented a new method for making hats and bonnets. The patents were officially in her husbands name due to restrictive law.","Sybilla Masters"
"Developed an automatic method for lasting shoes and made the mass-production of affordable shoes possible.","Jan Ernst Matzeliger"
"Co-invented the ENIAC computer (Electrical Numerical Integrator And Calculator) in 1946.","John W. Maunchly"
"Invented fiber-optic communication innovations and co-invented fiber-optic wire.","Robert D Maurer"
"Received a patent for the first computer microprocessor.","Stanley Mazor"
"Inventor of the a Machine Gun in his name.","Hiram Maxim"
"Einstein is quoted to have said ""[His work is] the most profound and the most fruitful that physics has experienced since the time of Newton"". Among many similar things, he was the first to express the basic laws of electricity and magnetism in a unified fashion.","James Clerk Maxwell"
"A Chicago industrialist who invented the first commercially successful reaper, a horse-drawn machine that harvested wheat.","Cyrus Hall McCormick"
"McCoy is best known for inventing the automatic oil cup. During his life, he invented and sold 57 different kinds of devices and machine parts including an ironing board and a lawn sprinkler.","Elijah McCoy"
"Invented Robot Ants robots.","James McLurkin"
"Co-invented the modern hula hoop.","Arthur Melin"
"The Mercator map projection was invented by this man as a navigation tool.","Gerardus Mercator"
"Invented the linotype-composing machine in 1886.","Ottmar Mergenthaler"
"Invented VELCRO.","George de Mestral"
"Introduced the world to network computing with the ethernet.","Robert Metcalfe"
"This American-Italian inventor had a telephone system from basement to first floor in 1857, 19 years before Bell's. He was, however, too poor to apply for the patent.","Antonio Meucci"
"Invented an improved elevator with automatic closing doors and shaft locks that prevented shaft access when the elevator was on a different floor, greatly reducing elevator accidents.","Alexander Miles"
"""[This man] was the most innovative and influential figure in the history of amusement parks."" As credited by Robert Cartmell's book: The Incredible Scream Machine","John A Miller"
"Co-invented a vaccine against viral hepatitis and developed a test that identified hepatitis B in blood samples.","Irving Millman"
"Co-invented improvements in computer architecture that allows IBM compatible PCs to share the same peripheral devices.","Dennis Moeller"
"Invented the Snugli baby carrier.","Ann Moore"
"The co-founder and chairman of Intel acurately predicted the rate of transister density improvement in microchip technology with 'his' Law in 1965.","Gordon Earle Moore"
"Invented a gas mask and received a patent for a traffic light.","Garrett A Morgan"
"Invented volleyball in 1895, at a YMCA in Holyoke, MA.","William G Morgan"
"Invented a device that relieves the irritation caused by wearing a cast - the cast cooler.","Krysta Morlan"
"A plastic version of the Frisbie.","William and Walter Morrison"
"Built an electric-powered six-passenger wagon in 1891.","William Morrison"
"Invented telegraph wires and Morse code, an electronic alphabet patented in 1840. The first telegraph read, ""What hath God wrought!"".","Samuel Morse"
"His patents were for the industrial production of penicillin.","Andrew J Moyer"
"Invented the first practical phototypesetting machine.","Louis Marius Moyroud"
"In 1986, with Johannes Georg Bednorz, invented the first high-temperature superconductor.","Karl Alexander Muller"
"Invented PCR, the process for amplifying nucleic acids.","Kary Banks Mullis"
"The Canadian physical education instructor who invented basketball in 1891.","James Naismith"
"The Scottish mathematician who invented logarithms, the decimal point, and 'his' Bones.","John Napier"
"Created innovations in jet aircraft engines with his variable-stator.","Gerhard Neumann"
"Invented the Rolodex.","Alfred Neustadter"
"Invented the atmospheric steam engine.","Thomas Newcomen"
"Invented the reflecting telescope in 1668.","Sir Isaac Newton"
"The inventor of the first synthetic rubber called neoprene.","Julius Nieuwland"
"Invented a rotating-disk technology to transmit pictures over wire in 1884. 'His' Disk was the very first electromechanical television scanning system, though abandoned early for quick improvements","Paul Gottlieb Nipkow"
"Invented dynamite.","Alfred Nobel"
"Invented the electroscope - a device for detecting electric charge - in 1748.","Jean Nollet"
"The co-founder of the Intel Corporation and the inventor-pioneer in semiconductor development. Jack Kilby and this man co-invented the integrated circuit.","Robert N Noyce"
"Invented optical analysis systems and was the world's first Hispanic female astronaut.","Ellen Ochoa"
"Co-inventor of the first jet engine.","Dr. Hans von Ohain"
"inventor of the modern rotary tattoo gun, patented 1891. His device was based on the rotary technology of Thomas Edison's autographic printer.","Samuel O'Reilly"
"Invented vital computer components and is best known for inventing Magnetic Core Memory and for co-founding the Digital Equipment Corporation.","Kenneth H Olsen"
"Invented Rollerblades.","Scott and Brennan Olson"
"Invented the elevator brake making safe elevators possible.","Elisha Graves Otis"
